
 The epoch is 490, average recall: 0.7414, average precision: 0.7679,average F1: 0.7544, average accuracy: 0.7627, average AUC: 0.8170
 The epoch is 500, average recall: 0.7586, average precision: 0.7458,average F1: 0.7521, average accuracy: 0.7542, average AUC: 0.8351
 The epoch is 510, average recall: 0.7759, average precision: 0.7377,average F1: 0.7563, average accuracy: 0.7542, average AUC: 0.8362
 The epoch is 520, average recall: 0.7759, average precision: 0.7377,average F1: 0.7563, average accuracy: 0.7542, average AUC: 0.8448
 The epoch is 530, average recall: 0.7586, average precision: 0.7458,average F1: 0.7521, average accuracy: 0.7542, average AUC: 0.8555
 The epoch is 540, average recall: 0.8448, average precision: 0.7538,average F1: 0.7967, average accuracy: 0.7881, average AUC: 0.8540
 The epoch is 550, average recall: 0.8621, average precision: 0.7576,average F1: 0.8065, average accuracy: 0.7966, average AUC: 0.8526
 The epoch is 560, average recall: 0.8103, average precision: 0.7460,average F1: 0.7769, average accuracy: 0.7712, average AUC: 0.8506
 The epoch is 570, average recall: 0.8276, average precision: 0.7619,average F1: 0.7934, average accuracy: 0.7881, average AUC: 0.8511
 The epoch is 580, average recall: 0.8276, average precision: 0.7500,average F1: 0.7869, average accuracy: 0.7797, average AUC: 0.8408
 The epoch is 590, average recall: 0.7069, average precision: 0.7736,average F1: 0.7387, average accuracy: 0.7542, average AUC: 0.8345
 The epoch is 600, average recall: 0.8276, average precision: 0.7619,average F1: 0.7934, average accuracy: 0.7881, average AUC: 0.8540
 The epoch is 610, average recall: 0.7586, average precision: 0.7857,average F1: 0.7719, average accuracy: 0.7797, average AUC: 0.8661
 The epoch is 620, average recall: 0.7414, average precision: 0.7818,average F1: 0.7611, average accuracy: 0.7712, average AUC: 0.8520
 The epoch is 630, average recall: 0.7586, average precision: 0.7097,average F1: 0.7333, average accuracy: 0.7288, average AUC: 0.8382
 The epoch is 640, average recall: 0.7759, average precision: 0.7143,average F1: 0.7438, average accuracy: 0.7373, average AUC: 0.8351
 The epoch is 650, average recall: 0.7586, average precision: 0.7097,average F1: 0.7333, average accuracy: 0.7288, average AUC: 0.8376
 The epoch is 660, average recall: 0.7241, average precision: 0.7368,average F1: 0.7304, average accuracy: 0.7373, average AUC: 0.8244
 The epoch is 670, average recall: 0.7759, average precision: 0.7759,average F1: 0.7759, average accuracy: 0.7797, average AUC: 0.8277
 The epoch is 680, average recall: 0.7931, average precision: 0.8070,average F1: 0.8000, average accuracy: 0.8051, average AUC: 0.8773
 The epoch is 690, average recall: 0.7586, average precision: 0.8000,average F1: 0.7788, average accuracy: 0.7881, average AUC: 0.8782
 The epoch is 700, average recall: 0.7931, average precision: 0.7797,average F1: 0.7863, average accuracy: 0.7881, average AUC: 0.8601
 The epoch is 710, average recall: 0.7414, average precision: 0.7679,average F1: 0.7544, average accuracy: 0.7627, average AUC: 0.8523
 The epoch is 720, average recall: 0.7241, average precision: 0.7500,average F1: 0.7368, average accuracy: 0.7458, average AUC: 0.8408
 The epoch is 730, average recall: 0.7241, average precision: 0.7500,average F1: 0.7368, average accuracy: 0.7458, average AUC: 0.8437
 The epoch is 740, average recall: 0.7586, average precision: 0.7719,average F1: 0.7652, average accuracy: 0.7712, average AUC: 0.8483
 The epoch is 750, average recall: 0.7414, average precision: 0.7679,average F1: 0.7544, average accuracy: 0.7627, average AUC: 0.8520
 The epoch is 760, average recall: 0.7586, average precision: 0.7333,average F1: 0.7458, average accuracy: 0.7458, average AUC: 0.8293
 The epoch is 770, average recall: 0.7414, average precision: 0.7167,average F1: 0.7288, average accuracy: 0.7288, average AUC: 0.8333
 The epoch is 780, average recall: 0.7414, average precision: 0.7167,average F1: 0.7288, average accuracy: 0.7288, average AUC: 0.8440
 The epoch is 790, average recall: 0.7414, average precision: 0.7414,average F1: 0.7414, average accuracy: 0.7458, average AUC: 0.8471
 The epoch is 800, average recall: 0.7414, average precision: 0.7414,average F1: 0.7414, average accuracy: 0.7458, average AUC: 0.8480
 The epoch is 810, average recall: 0.7414, average precision: 0.7414,average F1: 0.7414, average accuracy: 0.7458, average AUC: 0.8414
 The epoch is 820, average recall: 0.7414, average precision: 0.7414,average F1: 0.7414, average accuracy: 0.7458, average AUC: 0.8437
 The epoch is 830, average recall: 0.7414, average precision: 0.7288,average F1: 0.7350, average accuracy: 0.7373, average AUC: 0.8445
 The epoch is 840, average recall: 0.7414, average precision: 0.7167,average F1: 0.7288, average accuracy: 0.7288, average AUC: 0.8422
 The epoch is 850, average recall: 0.7586, average precision: 0.6984,average F1: 0.7273, average accuracy: 0.7203, average AUC: 0.8359
