
 The epoch is 520, average recall: 0.8793, average precision: 0.7969,average F1: 0.8361, average accuracy: 0.8305, average AUC: 0.8931
 The epoch is 530, average recall: 0.8276, average precision: 0.7869,average F1: 0.8067, average accuracy: 0.8051, average AUC: 0.8822
 The epoch is 540, average recall: 0.7759, average precision: 0.7627,average F1: 0.7692, average accuracy: 0.7712, average AUC: 0.8647
 The epoch is 550, average recall: 0.7759, average precision: 0.7500,average F1: 0.7627, average accuracy: 0.7627, average AUC: 0.8480
 The epoch is 560, average recall: 0.8103, average precision: 0.7581,average F1: 0.7833, average accuracy: 0.7797, average AUC: 0.8523
 The epoch is 570, average recall: 0.8103, average precision: 0.7460,average F1: 0.7769, average accuracy: 0.7712, average AUC: 0.8494
 The epoch is 580, average recall: 0.8103, average precision: 0.7705,average F1: 0.7899, average accuracy: 0.7881, average AUC: 0.8555
 The epoch is 590, average recall: 0.8276, average precision: 0.7742,average F1: 0.8000, average accuracy: 0.7966, average AUC: 0.8552
 The epoch is 600, average recall: 0.8276, average precision: 0.7500,average F1: 0.7869, average accuracy: 0.7797, average AUC: 0.8501
 The epoch is 610, average recall: 0.8103, average precision: 0.7460,average F1: 0.7769, average accuracy: 0.7712, average AUC: 0.8463
 The epoch is 620, average recall: 0.8103, average precision: 0.7344,average F1: 0.7705, average accuracy: 0.7627, average AUC: 0.8580
 The epoch is 630, average recall: 0.8276, average precision: 0.7619,average F1: 0.7934, average accuracy: 0.7881, average AUC: 0.8736
 The epoch is 640, average recall: 0.8621, average precision: 0.7692,average F1: 0.8130, average accuracy: 0.8051, average AUC: 0.8784
 The epoch is 650, average recall: 0.8621, average precision: 0.7576,average F1: 0.8065, average accuracy: 0.7966, average AUC: 0.8733
 The epoch is 660, average recall: 0.8276, average precision: 0.7500,average F1: 0.7869, average accuracy: 0.7797, average AUC: 0.8698
 The epoch is 670, average recall: 0.8448, average precision: 0.7656,average F1: 0.8033, average accuracy: 0.7966, average AUC: 0.8632
 The epoch is 680, average recall: 0.8793, average precision: 0.7727,average F1: 0.8226, average accuracy: 0.8136, average AUC: 0.8632
 The epoch is 690, average recall: 0.8448, average precision: 0.7656,average F1: 0.8033, average accuracy: 0.7966, average AUC: 0.8529
 The epoch is 700, average recall: 0.8448, average precision: 0.7656,average F1: 0.8033, average accuracy: 0.7966, average AUC: 0.8609
 The epoch is 710, average recall: 0.8448, average precision: 0.7778,average F1: 0.8099, average accuracy: 0.8051, average AUC: 0.8583
 The epoch is 720, average recall: 0.7931, average precision: 0.7541,average F1: 0.7731, average accuracy: 0.7712, average AUC: 0.8362
 The epoch is 730, average recall: 0.8103, average precision: 0.7460,average F1: 0.7769, average accuracy: 0.7712, average AUC: 0.8296
 The epoch is 740, average recall: 0.8621, average precision: 0.7463,average F1: 0.8000, average accuracy: 0.7881, average AUC: 0.8184
 The epoch is 750, average recall: 0.8103, average precision: 0.7344,average F1: 0.7705, average accuracy: 0.7627, average AUC: 0.8141
 The epoch is 760, average recall: 0.8103, average precision: 0.7460,average F1: 0.7769, average accuracy: 0.7712, average AUC: 0.8257
 The epoch is 770, average recall: 0.7241, average precision: 0.7368,average F1: 0.7304, average accuracy: 0.7373, average AUC: 0.8253
 The epoch is 780, average recall: 0.7241, average precision: 0.7500,average F1: 0.7368, average accuracy: 0.7458, average AUC: 0.8221
 The epoch is 790, average recall: 0.7759, average precision: 0.7500,average F1: 0.7627, average accuracy: 0.7627, average AUC: 0.8187
 The epoch is 800, average recall: 0.7586, average precision: 0.7586,average F1: 0.7586, average accuracy: 0.7627, average AUC: 0.8175
 The epoch is 810, average recall: 0.7586, average precision: 0.7586,average F1: 0.7586, average accuracy: 0.7627, average AUC: 0.8040
 The epoch is 820, average recall: 0.7586, average precision: 0.7586,average F1: 0.7586, average accuracy: 0.7627, average AUC: 0.8129
 The epoch is 830, average recall: 0.7414, average precision: 0.7544,average F1: 0.7478, average accuracy: 0.7542, average AUC: 0.8237
 The epoch is 840, average recall: 0.7069, average precision: 0.7455,average F1: 0.7257, average accuracy: 0.7373, average AUC: 0.8283
 The epoch is 850, average recall: 0.7414, average precision: 0.7679,average F1: 0.7544, average accuracy: 0.7627, average AUC: 0.8356
 The epoch is 860, average recall: 0.7586, average precision: 0.7586,average F1: 0.7586, average accuracy: 0.7627, average AUC: 0.8374
 The epoch is 870, average recall: 0.7241, average precision: 0.7500,average F1: 0.7368, average accuracy: 0.7458, average AUC: 0.8361
 The epoch is 880, average recall: 0.7586, average precision: 0.7333,average F1: 0.7458, average accuracy: 0.7458, average AUC: 0.8471
 The epoch is 890, average recall: 0.8103, average precision: 0.7460,average F1: 0.7769, average accuracy: 0.7712, average AUC: 0.8480
 The epoch is 900, average recall: 0.7069, average precision: 0.7193,average F1: 0.7130, average accuracy: 0.7203, average AUC: 0.8411
 The epoch is 910, average recall: 0.7241, average precision: 0.7500,average F1: 0.7368, average accuracy: 0.7458, average AUC: 0.8540
 The epoch is 920, average recall: 0.7586, average precision: 0.7857,average F1: 0.7719, average accuracy: 0.7797, average AUC: 0.8557
 The epoch is 930, average recall: 0.7759, average precision: 0.7627,average F1: 0.7692, average accuracy: 0.7712, average AUC: 0.8569
 The epoch is 940, average recall: 0.8103, average precision: 0.7581,average F1: 0.7833, average accuracy: 0.7797, average AUC: 0.8609
 The epoch is 950, average recall: 0.7586, average precision: 0.7586,average F1: 0.7586, average accuracy: 0.7627, average AUC: 0.8601
 The epoch is 960, average recall: 0.7414, average precision: 0.7414,average F1: 0.7414, average accuracy: 0.7458, average AUC: 0.8497
 The epoch is 970, average recall: 0.7414, average precision: 0.7544,average F1: 0.7478, average accuracy: 0.7542, average AUC: 0.8517
 The epoch is 980, average recall: 0.7759, average precision: 0.7377,average F1: 0.7563, average accuracy: 0.7542, average AUC: 0.8351
 The epoch is 990, average recall: 0.7931, average precision: 0.7419,average F1: 0.7667, average accuracy: 0.7627, average AUC: 0.8519
 The epoch is 1000, average recall: 0.7586, average precision: 0.7719,average F1: 0.7652, average accuracy: 0.7712, average AUC: 0.8468
 The epoch is 10, average recall: 1.0000, average precision: 0.4915,average F1: 0.6591, average accuracy: 0.4915, average AUC: 0.5000
 The epoch is 20, average recall: 1.0000, average precision: 0.4915,average F1: 0.6591, average accuracy: 0.4915, average AUC: 0.5000
 The epoch is 30, average recall: 1.0000, average precision: 0.4915,average F1: 0.6591, average accuracy: 0.4915, average AUC: 0.5000
 The epoch is 40, average recall: 1.0000, average precision: 0.4915,average F1: 0.6591, average accuracy: 0.4915, average AUC: 0.5000
 The epoch is 50, average recall: 1.0000, average precision: 0.4915,average F1: 0.6591, average accuracy: 0.4915, average AUC: 0.5000
 The epoch is 60, average recall: 1.0000, average precision: 0.4915,average F1: 0.6591, average accuracy: 0.4915, average AUC: 0.5000
 The epoch is 70, average recall: 1.0000, average precision: 0.4915,average F1: 0.6591, average accuracy: 0.4915, average AUC: 0.5000
